	title_ref	normed	Person	Related Person	Regest	Date	from	to
0	gesessen zu Allttunau	 	#pe__stephan_weiss	#pl__altdonau	3237	1448-01-20		
1	Bürger	Buerger_in	#pe__wolfhard_resch	#org__wien	3237	1448-01-20		
2	burger	 	#pe__georg_koler_QGW_II_II_3237	#org__wien	3237	1448-01-20		
3	burger zu Sand Pölten	 	#pe__michael_ursperger	#org__st_poelten	3238	1448-02-09		
4	burger	 	#pe__peter_schueter	#org__st_poelten	3238	1448-02-09		
5	burger	 	#pe__peter_volczian	#org__wien	3239	1448-02-13		
6	burger	 	#pe__niklas_reich	#org__wien	3239	1448-02-13		
7	von Ach	 	#pe__arnold_von_ach	#pl__aachen	3239	1448-02-13		
8	burger	 	#pe__ulrich_hirssauer	#org__wien	3239	1448-02-13		
9	burger	 	#pe__johann_ravensburger	#org__wien	3239	1448-02-13		
10	von Lengenveld	 	#pe__sigmund_obrecht_von_lengenfeld	#pl__lengenfeld_QGW_II_II_register_pg_482	3242	1448-02-22		
11	priester	Priester	#pe__sigmund_obrecht_von_lengenfeld	#org__passau_dioezese	3242	1448-02-22		
12	Lehnsherr	 	#pe__sigmund_obrecht_von_lengenfeld	#org__st_peter-altar_st_bartholomaeus-messe_schrot	3242	1448-02-22		
13	korherr	Kanoniker	#pe__stephan_von_eggenburg	#org__st_stephan	3242	1448-02-22		
14	burger	 	#pe__jakob_rechwein	#org__wien	3242	1448-02-22		
15	burger	 	#pe__ulrich_kerner	#org__wien	3242	1448-02-22		
16	burger	 	#pe__johann_sorger	#org__wien	3242	1448-02-22		
17	mitburger	 	#pe__leonhard_stengel	#org__wien	3245	1448-03-14		
18	burger	 	#pe__christoph_oeczestorffer	#org__wien	3245	1448-03-14		
19	burger	 	#pe__ulrich_volkchl	#org__wien	3245	1448-03-14		
20	korherr	Kanoniker	#pe__stephan_von_eggenburg	#org__st_stephan	3246	1448-03-27		
21	burger	 	#pe__jakob_rechwein	#org__wien	3246	1448-03-27		
22	burger	 	#pe__ulrich_kerner	#org__wien	3246	1448-03-27		
23	von Lengenfeld	 	#pe__sigmund_obrecht_von_lengenfeld	#pl__lengenfeld_QGW_II_II_register_pg_482	3246	1448-03-27		
24	priester	Priester	#pe__sigmund_obrecht_von_lengenfeld	#org__passau_dioezese	3246	1448-03-27		
25	korherr	Kanoniker	#pe__simon_heundl	#org__klosterneuburg_augustinerchorherren	3246	1448-03-27		
26	zu Nustorff	 	#pe__hermann_eibensteiner_zu_nussdorf	#pl__nussdorf	3246	1448-03-27		
27	von Straspurg	 	#pe__niklas_puckler_QGW_II_II_3248	#pl__strasburg	3248	1448-04-30		
28	Bürger	Buerger_in	#pe__georg_prunntaler	#org__wien	3248	1448-04-30		
29	Bürger	Buerger_in	#pe__niklas_marchegger_QGW_II_II_3248	#org__wien	3248	1448-04-30		
30	burgerin	 	#pe__agnes_QGW_II_II_3250_a	#org__wien	3250	1448-05-03		
31	korherr	Kanoniker	#pe__johann_fuechsel_II	#org__st_stephan	3250	1448-05-03		
32	burgerin	 	#pe__agnes_QGW_II_II_3250_b	#org__wien	3257	1448-06-26		
33	korherr	Kanoniker	#pe__johann_fuechsel_II	#org__st_stephan	3257	1448-06-26		
34	burger	 	#pe__paul_schernhaimer	#org__korneuburg	3261	1448-07-08		
35	mitburger	 	#pe__johann_grimm	#org__wien	3261	1448-07-08		
36	Bürgers	Buerger_in	#pe__georg_haug_QGW_II_II_3261	#org__wien	3261	1448-07-08		
37	mitburger	 	#pe__johann_payr_der_schuster_QGW_II_II_3263	#org__wien	3263	1448-07-10		
38	Bürgers	Buerger_in	#pe__simon_von_eslarn_QGW_II_II_3263	#org__wien	3263	1448-07-10		
39	burger	 	#pe__niklas_vorstl_QGW_II_II_3265	#org__wien	3265	1448-08-06		
40	burger	 	#pe__georg_prunntaler	#org__wien	3265	1448-08-06		
41	Mitbürger	 	#pe__niklas_atzenbrugger_QGW_II_II_3266	#org__wien	3266	1448-08-08		
42	mitburger	 	#pe__konrad_muellner_QGW_II_II_3269	#org__wien	3269	1448-08-16		
43	mitburger	 	#pe__niklas_ernst_der_schuster_QGW_II_II_3259	#org__wien	3269	1448-08-16		
44	Bürgers	Buerger_in	#pe__niklas_teschler	#org__wien	3275	1448-09-20		
